Endpoint,Property,1,Category,Description,ErrorResponse,Errorresponse,HTTP Verb/Method,SuccessResponse,SuccessResponse 
"
  /api/bookcondition/post
  ",,,Book Condition,"
  Add new book condition object
  ",,"{
  ""code"": ADDFAILS"",
  ""message"":Book condition  already exist""
}",POST,,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Book Condition added successfully""
}"
"
  /api/bookcondition/{ranks}
  ",,,Book Condition,"
  Update price with given ranks
  ",,,PUT,,
"
  /api/bookcondition/update/description/{ranks}
  ",,,Book Condition,"
  Update full description with
  given ranks
  ",,,PUT,,
"
  /api/bookcondition/update/fullDescription/{ranks}
  ",,,Book Condition,"
  Update description with given ranks
  ",,,PUT,,
"
  /api/bookcondition/update/price/{ranks}
  ",,,Book Condition,"
  Get book condition with given ranks
  ",,,GET,,"
  Book condition
  "
"
  /api/category/post
  ",,,Category,"
  Add new category object
  ",,,POST,,"
  String: category added successfully
  "
"
  /api/category/{catId}
  ",,,Category,"
  Update description with given Id
  ",,,PUT,,"
  Category
  "
"
  /api/category/update/description/{catId}
  ",,,Category,"
  Get category with given id
  ",,,GET,,"
  Category
  "
"
  /api/shoppingcart/post
  ",,,Shopping Cart,"
  Add new  shopping cart object
  ",,,POST,,"
  String: Shopping cart added successfully
  "
/api/ shoppingcart /update/isbn/{userId},,,Shopping Cart,"
  Update isbn with given Id
  ",,,PUT,,"
  Shopping cart
  "
"
/api/ shoppingcart /{userId}",,,Shopping Cart,"
  Get cart with given id
  ",,,GET,,"
  Shopping cart
  "
"
  /api/purchaselog/post
  ",,,Purchase Log,"
  Add new  purchaselog object
  ",,,POST,,"
  String: Purchase Log added successfully
  "
"
  /api/purchaselog/{userId}
  ",,,Purchase Log,"
  Get purchase log for the given
  userid
  ",,,GET,,"
  Purchase Log
  "
"
  /api/purchaselog/update/inventoryid/{userId}
  ",,,Purchase Log,"
  Update inventory Id of purchase
  log given user id
  ",,,PUT,,"
  Purchase log
  "
"
  /api/permrole/post
  ",,,Perm Role,"
  Add new permrole object
  ",,"{
  ""code"": ADDFAILS"",
  ""message"":Perm Role already exist""
}",POST,,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Perm Role added successfully""
}"
"
  /api/permrole/{rolenumber}
  ",,,Perm Role,"
  Update perm role of a given role
  number
  ",,,PUT,,
"
  /api/permrole/update/permeole/{rolenumber}
  ",,,Perm Role,"
  Get permrole object for the
  given rollnumber
  ",,,GET,,"
  Permrole object
  "
,,,Publisher,,,,,,
